Institution Name,Size,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,Institution Name_clean,Institution Name_matched,Rank,School Name,Prior Rank,Scaled Score,Prior Scaled Score,School Name_clean
Massachusetts Institute of Technology (MIT) ,M,100.0,100.0,100.0,100.0,99.3,86.8,96.0,100.0,99.0,massachusetts institute of technology,massachusetts institute of technology,3,Massachusetts Institute of Technology,2.0,96.3,97.0,massachusetts institute of technology
Harvard University,L,100.0,100.0,96.3,100.0,74.1,69.0,99.6,100.0,84.4,harvard university,harvard university,2,Harvard University,3.0,96.9,95.8,harvard university
Stanford University,L,100.0,100.0,100.0,99.0,70.3,60.8,96.8,100.0,81.2,stanford university,stanford university,7,Stanford University,6.0,91.6,92.7,stanford university
California Institute of Technology (Caltech),S,96.5,95.3,100.0,100.0,100.0,79.8,65.5,31.0,62.5,california institute of technology,california institute of technology,9,California Institute of Technology,8.0,90.1,90.8,california institute of technology
University of Pennsylvania,L,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0,university of pennsylvania,university of pennsylvania,6,University of Pennsylvania,7.0,91.6,90.9,university of pennsylvania
"University of California, Berkeley (UCB)",XL,100.0,100.0,23.5,98.2,91.5,61.0,97.2,98.4,100.0,university of california berkeley,university of californiaberkeley,91,University of California-Berkeley,110.0,75.1,74.5,university of californiaberkeley
Cornell University,L,98.3,93.1,52.7,97.5,54.2,63.4,94.0,97.1,72.1,cornell university,cornell university,17,Cornell University,21.0,87.4,88.0,cornell university
University of Chicago,L,99.1,96.4,94.2,60.8,79.0,87.0,85.1,99.1,46.9,university of chicago,university of chicago,4,University of Chicago,5.0,93.7,93.2,university of chicago
Princeton University,M,99.8,98.3,57.0,100.0,9.6,56.6,78.3,95.7,51.5,princeton university,princeton university,1,Princeton University,1.0,100.0,100.0,princeton university
Yale University,L,99.9,99.9,100.0,38.6,91.5,63.3,93.9,98.5,92.2,yale university,yale university,5,Yale University,4.0,92.3,95.3,yale university
Johns Hopkins University,L,86.0,62.6,100.0,84.2,63.7,95.8,98.7,71.5,61.9,johns hopkins university,johns hopkins university,21,Johns Hopkins University,26.0,86.2,86.6,johns hopkins university
Columbia University,XL,99.6,98.8,100.0,31.7,41.5,97.0,98.5,99.9,71.8,columbia university,columbia university in city of new york,8,Columbia University in the City of New York,9.0,90.4,90.7,columbia university in city of new york
"University of California, Los Angeles (UCLA)",XL,100.0,99.8,35.4,74.0,42.2,22.3,95.5,94.7,67.1,university of california los angeles,university of californialos angeles,70,University of California-Los Angeles,84.0,77.8,76.7,university of californialos angeles
New York University (NYU),XL,96.3,98.8,90.5,28.6,30.2,98.1,92.6,98.4,95.4,new york university,new york university,42,New York University,53.0,82.2,81.8,new york university
University of Michigan-Ann Arbor,XL,97.9,92.1,80.3,47.6,65.5,39.2,95.8,94.5,62.2,university of michiganann arbor,university of michiganann arbor,48,University of Michigan-Ann Arbor,55.0,81.2,81.7,university of michiganann arbor
Northwestern University,L,84.0,68.0,97.6,67.7,45.4,52.0,89.4,96.8,55.4,northwestern university,northwestern university,12,Northwestern University,17.0,89.3,89.2,northwestern university
Carnegie Mellon University,L,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5,carnegie mellon university,carnegie mellon university,26,Carnegie Mellon University,31.0,84.5,85.4,carnegie mellon university
Duke University,L,86.0,74.7,100.0,35.1,16.3,61.0,93.3,85.5,75.0,duke university,duke university,10,Duke University,12.0,89.4,89.9,duke university
University of Texas at Austin,XL,93.5,86.6,8.1,76.7,6.1,11.7,91.7,81.7,52.1,university of texas at austin,university of texas at austin,85,The University of Texas at Austin,93.0,75.9,75.8,university of texas at austin
University of Illinois at Urbana-Champaign,XL,83.9,75.7,6.4,77.5,14.0,56.3,90.4,81.7,65.0,university of illinois at urbanachampaign,university of illinois urbanachampaign,107,University of Illinois Urbana-Champaign,119.0,73.7,73.9,university of illinois urbanachampaign
"University of California, San Diego (UCSD)",XL,89.3,57.8,50.8,67.0,54.6,44.3,95.5,21.7,44.3,university of california san diego,university of californiasan diego,178,University of California-San Diego,171.0,68.6,69.4,university of californiasan diego
University of Washington,XL,81.9,55.5,28.6,78.8,11.0,32.8,95.6,68.7,66.5,university of washington,university of mary washington,349,University of Mary Washington,372.0,61.1,59.3,university of mary washington
Brown University,M,59.9,49.6,77.7,76.4,79.9,50.9,83.2,63.6,46.6,brown university,brown university,13,Brown University,18.0,89.2,88.8,brown university
Purdue University,XL,63.3,81.1,11.4,54.3,79.6,45.2,92.9,63.1,90.1,purdue university,purdue universitymain campus,156,Purdue University-Main Campus,168.0,70.2,69.6,purdue universitymain campus
Boston University,L,61.9,69.1,38.3,41.3,34.3,88.9,86.9,77.2,65.9,boston university,boston university,55,Boston University,63.0,80.6,80.5,boston university
University of Wisconsin-Madison,XL,77.7,47.8,74.3,23.7,35.3,23.6,91.6,81.6,59.6,university of wisconsinmadison,university of wisconsinmadison,90,University of Wisconsin-Madison,115.0,75.2,74.1,university of wisconsinmadison
University of Southern California,XL,50.4,54.5,17.3,58.0,26.0,74.1,85.8,92.6,97.7,university of southern california,university of southern california,38,University of Southern California,45.0,82.9,83.2,university of southern california
